账号序号	日期	序号	名称	折扣	是否购买	剩余信用
0	2023-11-14	0	聚酸酯	75	True	40
0	2023-11-14	1	异铁	50	True	40
0	2023-11-14	2	龙门币大	50	True	40
0	2023-11-14	3	技巧概要·卷2	50	True	40
0	2023-11-14	4	招聘许可	50	True	40
0	2023-11-14	5	技巧概要·卷2	50	True	40
0	2023-11-14	6	加急许可	50	False	40
0	2023-11-14	7	技巧概要·卷2	0	False	40
0	2023-11-14	8	招聘许可	0	True	40
0	2023-11-14	9	家具零件大	0	False	40
0	2023-11-15	0	固源岩	75	True	240
0	2023-11-15	1	招聘许可	50	True	240
0	2023-11-15	2	基础作战记录	50	True	240
0	2023-11-15	3	龙门币大	50	True	240
0	2023-11-15	4	基础作战记录	50	True	240
0	2023-11-15	5	异铁	50	True	240
0	2023-11-15	6	碳	50	True	240
0	2023-11-15	7	异铁	0	True	240
0	2023-11-15	8	碳素	0	False	240
0	2023-11-15	9	招聘许可	0	True	240
0	2023-11-16	0	异铁	75	True	150
0	2023-11-16	1	装置	50	True	150
0	2023-11-16	2	招聘许可	50	True	150
0	2023-11-16	3	异铁	50	True	150
0	2023-11-16	4	龙门币大	50	True	150
0	2023-11-16	5	加急许可	50	False	150
0	2023-11-16	6	酮凝集	0	True	150
0	2023-11-16	7	装置	0	True	150
0	2023-11-16	8	招聘许可	0	True	150
0	2023-11-16	9	聚酸酯	0	False	150
0	2023-11-17	0	装置	75	True	220
0	2023-11-17	1	糖	75	True	220
0	2023-11-17	2	糖	50	True	220
0	2023-11-17	3	代糖	50	True	220
0	2023-11-17	4	招聘许可	50	True	220
0	2023-11-17	5	聚酸酯	0	True	220
0	2023-11-17	6	技巧概要·卷2	0	True	220
0	2023-11-17	7	酮凝集	0	False	220
0	2023-11-17	8	招聘许可	0	True	220
0	2023-11-17	9	赤金	0	False	220
0	2023-11-18	0	酮凝集	75	True	170
0	2023-11-18	1	异铁	50	True	170
0	2023-11-18	2	家具零件大	50	False	170
0	2023-11-18	3	家具零件大	50	False	170
0	2023-11-18	4	装置	50	True	170
0	2023-11-18	5	龙门币大	50	True	170
0	2023-11-18	6	龙门币小	0	True	170
0	2023-11-18	7	酮凝集	0	True	170
0	2023-11-18	8	聚酸酯	0	True	170
0	2023-11-18	9	技巧概要·卷2	0	False	170
0	2023-11-19	0	技巧概要·卷2	75	True	80
0	2023-11-19	1	技巧概要·卷2	50	True	80
0	2023-11-19	2	固源岩	50	True	80
0	2023-11-19	3	异铁	50	True	80
0	2023-11-19	4	赤金	50	True	80
0	2023-11-19	5	碳素	50	False	80
0	2023-11-19	6	技巧概要·卷2	50	True	80
0	2023-11-19	7	家具零件大	0	False	80
0	2023-11-19	8	装置	0	True	80
0	2023-11-19	9	龙门币大	0	False	80
0	2023-11-20	0	加急许可	75	False	160
0	2023-11-20	1	聚酸酯	75	True	160
0	2023-11-20	2	招聘许可	50	True	160
0	2023-11-20	3	酮凝集	50	True	160
0	2023-11-20	4	招聘许可	50	True	160
0	2023-11-20	5	初级作战记录	0	True	160
0	2023-11-20	6	家具零件大	0	False	160
0	2023-11-20	7	异铁	0	True	160
0	2023-11-20	8	聚酸酯	0	True	160
0	2023-11-20	9	家具零件大	0	False	160
0	2023-11-21	0	碳素	75	True	290
0	2023-11-21	1	异铁	50	True	290
0	2023-11-21	2	碳素	50	True	290
0	2023-11-21	3	龙门币大	50	True	290
0	2023-11-21	4	龙门币大	50	True	290
0	2023-11-21	5	碳素	50	True	290
0	2023-11-21	6	加急许可	50	False	290
0	2023-11-21	7	赤金	0	True	290
0	2023-11-21	8	加急许可	0	False	290
0	2023-11-21	9	碳素	0	False	290
0	2023-11-22	0	家具零件大	75	True	280
0	2023-11-22	1	技巧概要·卷2	50	True	280
0	2023-11-22	2	加急许可	50	True	280
0	2023-11-22	3	装置	50	True	280
0	2023-11-22	4	加急许可	50	True	280
0	2023-11-22	5	加急许可	50	True	280
0	2023-11-22	6	加急许可	0	False	280
0	2023-11-22	7	固源岩	0	True	280
0	2023-11-22	8	招聘许可	0	True	280
0	2023-11-22	9	赤金	0	True	280
